id,author,title,description,url,urlToImage,publishedAt,content,sources
30,Reuters in New York,Elon Musk reports testing positive for Covid-19 for second time,"‘I supposedly have it again (sigh), but almost no symptoms,’ Tesla and SpaceX billionaire tweetsElon Musk said on Monday he had “supposedly” tested positive for Covid-19, with no major symptoms.“I supposedly have it again (sigh), but almost no symptoms,” the …",https://amp.theguardian.com/technology/2022/mar/28/elon-musk-covid-19-positive-test-second-time,https://i.guim.co.uk/img/media/6b63c7b4e1a6bc60c86336963f8282f41a196fa0/0_47_3000_1800/master/3000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=f340718aaf5a6b1743c2cb3051740ee0,2022-03-28T12:10:12Z,"Elon Musk said on Monday he had supposedly tested positive for Covid-19, with no major symptoms.
I supposedly have it again (sigh), but almost no symptoms, the Tesla and SpaceX billionaire said in a… [+1482 chars]",The Guardian
31,,Paris taxi driver files lawsuit against Tesla after fatal crash - Reuters.com,"A Paris taxi driver whose Tesla Model 3 crashed in December, killing one person, has filed a legal complaint against the U.S. carmaker, his lawyer said on Sunday.",https://www.reuters.com/world/europe/paris-taxi-driver-files-lawsuit-against-tesla-after-fatal-crash-2022-03-20/,https://www.reuters.com/resizer/1YPN8whLeYci7zCxj5IlK6ddZHQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/6YNM2OSRNJK73GNWRK5TNKJ5YE.jpg,2022-03-20T15:02:00Z,"PARIS, March 20 (Reuters) - A Paris taxi driver whose Tesla Model 3 crashed in December, killing one person, has filed a legal complaint against the U.S. carmaker, his lawyer said on Sunday.
The Fre… [+1795 chars]",Reuters
32,Ramishah Maruf,Elon Musk's latest court filing against the SEC quotes Eminem,Elon Musk's ongoing legal battle with the Securities and Exchange Commission has a new player — rapper Eminem.,https://www.cnn.com/2022/04/03/business/elon-musk-eminem-lawyer-sec/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/220403111155-elon-musk-file-021022.jpg?c=16x9&q=w_800,c_fill",2022-04-03T16:25:39Z,"Elon Musks ongoing legal battle with the Securities and Exchange Commission has a new player rapper Eminem. 
Musks lawyer, Alex Spiro, quoted Eminems 2002 song Without Me in the latest effort to ove… [+1505 chars]",CNN
33,Steven Loveday,Tesla's 4680 Cells & Structural Pack Revealed At Cyber Rodeo - InsideEVs,"<ol><li>Tesla's 4680 Cells & Structural Pack Revealed At Cyber Rodeo  InsideEVs 
</li><li>Musk says Tesla will build vehicle designed to be a robotaxi - Business News  Castanet.net
</li><li>Tesla CEO Musk stresses scaling up, teases dedicated robotaxi, Cybe…",https://insideevs.com/news/578801/tesla-structural-pack-4680-cells-unveiled-cyber-rodeo/,https://cdn.motor1.com/images/mgl/rxZmx/s1/tesla-4680-battery-cells---pilot-production-quelle-https-insideevs.com-news-522636-tesla-4680-cells-substantial-progress.jpg,2022-04-08T14:52:00Z,"While Tesla CEO Elon Musk did reveal a few juicy bits of information at Tesla's Cyber Rodeo delivery party last evening, there wasn't a whole lot of ""new material,"" and future plans, details, and dat… [+2272 chars]",InsideEVs 
34,,Inside China's electric drive for swappable car batteries - Reuters.com,"A year ago Tesla dismissed the alternative path of electric car battery swapping as ""riddled with problems and not suitable for widescale use"". It seems Beijing disagrees.",https://www.reuters.com/business/autos-transportation/inside-chinas-electric-drive-swappable-car-batteries-2022-03-24/,https://www.reuters.com/resizer/ge55Rkuk34vp8_XeuT3jG8-Y6CQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/WBVYGERVU5OHVPPTXJV3JCOHZA.jpg,2022-03-24T23:11:00Z,"DETROIT/BEIJING, March 25 (Reuters) - A year ago Tesla dismissed the alternative path of electric car battery swapping as ""riddled with problems and not suitable for widescale use"". It seems Beijing … [+8993 chars]",Reuters
35,Eduardo Scheffler Zawadzki,"Elon Musk speaks again about the Optiums robot: ""No Terminator-style stuff""",The Tesla Bot is one of the company's most ambitious projects and also the one that draws the most attention.,https://www.entrepreneur.com/article/424311,https://assets.entrepreneur.com/content/3x2/2000/1649429039-GettyImages-1239825668.jpg,2022-04-08T14:51:00Z,"Is it time to review Isaac Asimov's laws of robotics? After listening to Elon Musk one confirms yes. The CEO of Tesla , SpaceX and now the majority owner of Twitter , it is impossible not to be surpr… [+2088 chars]",Entrepreneur
36,Andrei Nedelea,Tesla Cybertruck Shown At Giga Texas Cyber Rodeo With New Features - InsideEVs,"<ol><li>Tesla Cybertruck Shown At Giga Texas Cyber Rodeo With New Features  InsideEVs 
</li><li>Musk says Tesla will build vehicle designed to be a robotaxi - Business News  Castanet.net
</li><li>Tesla's new-look Cybertruck appears at Texas party  CTV News…",https://insideevs.com/news/578749/tesla-cybertruck-prototype-giga-texas-rodeo/,https://cdn.motor1.com/images/mgl/6Zpk0E/s1/cybertruck-texas.jpg,2022-04-08T11:47:00Z,"Tesla organized an event at its new Giga Texas plant called Cyber Rodeo where among other things it showed off the latest version of the Cybertruck, which featured some changes and improvements since… [+1832 chars]",InsideEVs 
37,,"Tesla recalls 947 U.S. vehicles over delay in rearview image display, NHTSA says - Reuters","Tesla Inc is recalling 947 vehicles in the United States because the rearview image may not immediately display when they begin to reverse, the National Highway Traffic Safety Administration (NHTSA) said.",https://www.reuters.com/business/autos-transportation/tesla-recalls-947-us-vehicles-over-delay-rearview-image-display-nhtsa-says-2022-03-25/,https://www.reuters.com/resizer/yqLnHhaSLMvZX69cbWACjM04J8g=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/H3VY2VGPMNOUTORKSBQLB564XQ.jpg,2022-03-25T11:59:00Z,"WASHINGTON, March 25 (Reuters) - Tesla Inc is recalling 947 vehicles in the United States because the rearview image may not immediately display when they begin to reverse, the National Highway Traff… [+1665 chars]",Reuters
38,Entrepreneur Staff,Elon Musk Reveals the Color That Is 'Very Special' to Him,The Tesla CEO spoke about his philosophy on what makes a color move you.,https://www.entrepreneur.com/article/423125,https://assets.entrepreneur.com/content/3x2/2000/1648215083-GettyImages-1228322928.jpg,2022-03-25T13:40:24Z,"When Elon Musk was a kid, we're guessing he took a long time to decide which color crayon he'd pull out of that Crayola 64 megapack. 
ODD ANDERSEN | Getty Images
When discussing the first update on… [+1902 chars]",Entrepreneur
39,Andrew J. Hawkins,"Uber’s annual product event will focus on travel, sustainability",Uber’s annual product event will be held on May 16th. The company plans on making announcements related to travel and sustainability.,https://www.theverge.com/2022/3/31/23005307/uber-go-get-2022-product-event-date,https://cdn.vox-cdn.com/thumbor/HHiAGb2BBAeewprURfm0DeM1d6k=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13175209/acastro_180927_1777_uber_0002.jpg,2022-03-31T20:52:27Z,"Illustration by Alex Castro / The Verge

 

 Uber will hold its annual product event on May 16th, during which the company will showcase new products, updates, and features focused on travel and sus… [+1823 chars]",The Verge
